,bias,has_legs,lays_eggs,has_a_tongue,is_small,has_short_legs,has_teeth,lives_in_the_zoo,is_light,eats_plants,has_wings,has_four_legs,has_a_tail,eats_small_animals,can_fly,can_swim,eats_insects,builds_nests,is_a_bird,has_a_bill,eats_fish,has_two_legs,is_slippery,has_a_mouth,lives_in_water,has_feathers,is_slimy,has_two_wings,is_big,heavy,has_scales,has_gills,is_beautiful,eats_worms,has_fins,breaths_under_water,has_six_legs,has_large_teeth,has_sharp_claws,eats_flies,buzzes
has_legs,1.10980643541126,0,0.211012049256883,1.10980643541126,0.0874976400675311,1.15140494248143,-0.409342584854585,-0.0968197480881499,0.273316735296866,0.149112885797301,0.273316735296866,0.273316735296866,0.211012049256883,-0.506362990848517,0.149112885797301,-1.83082908748266,-0.158470340971775,-0.0968197480881499,-0.12761476838299,-0.12761476838299,-1.89685256945442,-0.12761476838299,-3.22129713355721,-0.12761476838299,-2.11714178548591,-0.158470340971775,-2.72706027832718,-0.158470340971775,-0.572337324988707,-0.778463354566907,-1.48823996167765,-2.72706027832718,-0.473784352085642,-0.345728606573538,-2.60106722018987,-2.60106722018987,-0.409342584854585,-0.962994385375692,-0.814291563919034,-0.850622331534175,-0.887490812262241
lays_eggs,0.98990808706722,0.211012049256883,0,-0.377441243123209,0.913524928435282,0.663294217410264,-1.43796637166421,-0.639547489336991,0.180019471111719,-1.00171354617865,0.304660408986199,-1.76781750518675,-1.89685256945442,-0.220423030644962,0.180019471111719,-0.44145070833934,-0.00465117117573088,-0.00465117117573088,-0.0353525187157201,-0.0353525187157201,-0.345728606573538,-0.0353525187157201,-0.282800044854473,-3.45238966084683,-0.377441243123209,-0.0660705360364147,-0.12761476838299,-0.0660705360364147,-1.48823996167765,-1.48823996167765,-0.189401383355163,-0.506362990848517,-1.34182984466709,-0.314187191831778,-0.539206916304216,-0.473784352085642,-0.314187191831778,-1.16418888274719,-1.08132257115655,-0.743104807005301,-0.778463354566907
has_a_tongue,0.496463608919881,1.10980643541126,-0.377441243123209,0,-0.778463354566907,0.336153308217935,0.562266248747646,0.767700499502088,-0.708185057924486,0.304660408986199,0.0567594193008806,0.839557883666886,0.767700499502088,0.336153308217935,-0.0660705360364147,-0.924934673813796,0.431698031800366,0.304660408986199,0.399654516512698,0.399654516512698,-0.962994385375692,0.399654516512698,-1.04113926101402,0.399654516512698,-1.08132257115655,0.367812238582606,-0.924934673813796,0.367812238582606,0.0260479843189771,0.0260479843189771,-0.778463354566907,-1.34182984466709,-0.00465117117573088,0.180019471111719,-1.29573478407416,-1.29573478407416,-1.34182984466709,-0.377441243123209,-0.251550681308997,-0.345728606573538,-0.778463354566907
is_small,0.242105933956414,0.0874976400675311,0.913524928435282,-0.778463354566907,0,0.732478092622369,-0.850622331534175,-1.08132257115655,1.32773129208778,-0.377441243123209,0.242105933956414,-0.850622331534175,-0.924934673813796,-0.673675077147125,0.367812238582606,-0.377441243123209,0.242105933956414,-0.0660705360364147,-0.158470340971775,-0.158470340971775,-0.409342584854585,-0.158470340971775,-0.0968197480881499,-0.814291563919034,-0.251550681308997,-0.12761476838299,0.0567594193008806,-0.12761476838299,-1.20699852524247,-1.20699852524247,0.118277228895994,-0.12761476838299,-0.377441243123209,0.180019471111719,-0.0968197480881499,-0.0968197480881499,0.367812238582606,-0.639547489336991,-0.506362990848517,-0.0353525187157201,-0.0660705360364147
has_short_legs,0.149112885797301,1.15140494248143,0.663294217410264,0.336153308217935,0.732478092622369,0,-0.962994385375692,-0.158470340971775,1.02911449417119,-0.0353525187157201,0.876259563808718,-0.220423030644962,-0.282800044854473,-0.314187191831778,0.803383010580946,-0.814291563919034,0.463961314789773,0.595609390583329,0.562266248747646,0.562266248747646,-0.850622331534175,0.562266248747646,-1.08132257115655,-0.572337324988707,-0.814291563919034,0.529224949380573,-0.962994385375692,0.529224949380573,-0.778463354566907,-0.778463354566907,-0.409342584854585,-0.962994385375692,-0.220423030644962,0.336153308217935,-0.924934673813796,-0.924934673813796,0.273316735296866,-0.409342584854585,-0.220423030644962,-0.00465117117573088,-0.0968197480881499
has_teeth,-0.189401383355163,-0.409342584854585,-1.43796637166421,0.562266248747646,-0.850622331534175,-0.962994385375692,0,0.767700499502088,-0.850622331534175,0.242105933956414,-1.25082049496714,1.42303618677315,1.52424542642274,0.463961314789773,-1.08132257115655,0.367812238582606,-0.314187191831778,-0.850622331534175,-0.814291563919034,-0.814291563919034,0.211012049256883,-0.814291563919034,0.336153308217935,1.19392246847243,0.304660408986199,-0.778463354566907,0.242105933956414,-0.778463354566907,0.803383010580946,1.02911449417119,0.367812238582606,0.242105933956414,0.367812238582606,-0.314187191831778,0.273316735296866,0.211012049256883,-0.506362990848517,0.496463608919881,0.180019471111719,0.0260479843189771,-0.0660705360364147
lives_in_the_zoo,-0.572337324988707,-0.0968197480881499,-0.639547489336991,0.767700499502088,-1.08132257115655,-0.158470340971775,0.767700499502088,0,-0.572337324988707,0.180019471111719,-0.12761476838299,0.98990808706722,0.98990808706722,0.951393565061089,-0.251550681308997,0.242105933956414,0.431698031800366,0.0567594193008806,0.149112885797301,0.149112885797301,0.0874976400675311,0.149112885797301,0.149112885797301,0.595609390583329,0.180019471111719,0.118277228895994,0.180019471111719,0.118277228895994,0.876259563808718,0.951393565061089,0.367812238582606,-0.00465117117573088,0.62927733213201,0.304660408986199,0.0260479843189771,0.0260479843189771,-0.0660705360364147,0.62927733213201,0.562266248747646,0.399654516512698,0.304660408986199
is_light,-0.572337324988707,0.273316735296866,0.180019471111719,-0.708185057924486,1.32773129208778,1.02911449417119,-0.850622331534175,-0.572337324988707,0,0.180019471111719,0.62927733213201,-0.189401383355163,-0.314187191831778,-0.345728606573538,0.767700499502088,-0.44145070833934,0.496463608919881,0.367812238582606,0.273316735296866,0.273316735296866,-0.409342584854585,0.273316735296866,-0.282800044854473,-0.0968197480881499,-0.314187191831778,0.304660408986199,-0.12761476838299,0.304660408986199,-0.282800044854473,-0.282800044854473,-0.0660705360364147,-0.189401383355163,0.304660408986199,0.62927733213201,-0.158470340971775,-0.158470340971775,1.32773129208778,0.180019471111719,0.242105933956414,0.732478092622369,0.767700499502088
eats_plants,-0.639547489336991,0.149112885797301,-1.00171354617865,0.304660408986199,-0.377441243123209,-0.0353525187157201,0.242105933956414,0.180019471111719,0.180019471111719,0,0.0567594193008806,0.839557883666886,0.839557883666886,-0.220423030644962,-0.00465117117573088,-0.251550681308997,-0.0660705360364147,0.242105933956414,0.273316735296866,0.273316735296866,-0.345728606573538,0.273316735296866,-0.282800044854473,1.10980643541126,-0.189401383355163,0.304660408986199,-0.189401383355163,0.304660408986199,0.595609390583329,0.529224949380573,-0.189401383355163,-0.12761476838299,0.697685502191197,0.304660408986199,-0.0968197480881499,-0.0968197480881499,0.304660408986199,0.367812238582606,0.304660408986199,0.463961314789773,0.431698031800366
has_wings,-0.708185057924486,0.273316735296866,0.304660408986199,0.0567594193008806,0.242105933956414,0.876259563808718,-1.25082049496714,-0.12761476838299,0.62927733213201,0.0567594193008806,0,-0.708185057924486,-0.572337324988707,0.149112885797301,3.16003532484527,-0.314187191831778,1.06906258556624,2.01688126055437,2.09311876698729,2.09311876698729,0.0260479843189771,2.09311876698729,-0.282800044854473,-0.220423030644962,-0.251550681308997,2.01688126055437,-0.251550681308997,2.01688126055437,0.0260479843189771,-0.158470340971775,-0.12761476838299,-0.0660705360364147,0.431698031800366,1.06906258556624,-0.0353525187157201,-0.0353525187157201,0.767700499502088,0.304660408986199,0.62927733213201,0.732478092622369,0.913524928435282
